,virtual,downloadable,rating_count,average_rating,total_sales,tax_class,post_author,post_date,post_date_gmt,post_content,post_title,post_status,comment_status,ping_status,post_password,post_name,post_modified,post_modified_gmt,post_content_filtered,post_parent,menu_order,comment_count,idExport,id,product_id,id_web,idExport_1,onsale_web,price,stock_quantity,stock_status,idExport_2,price_z-score,millesime
0,0,0,0,0,0,,2,43671.385891203696,43671.30255787037,,Domaine des Comtes Lafon Volnay 1er Cru Champans 2013,publish,closed,closed,,domaine-des-comtes-lafon-volnay-1er-cru-champans-2013,44016.48266203704,44016.399328703694,,0,0,0,2026-03-16 10:54:07.746,5b87b39c-5d1f-4e1d-b11b-ef1263d5f201,6214,11601,2026-03-16 10:54:07.746,1,99.0,7,instock,2026-03-16 10:54:07.746,2.3914278112640908,True
13,0,0,0,0,11,,2,43161.44872685185,43161.40706018519,,Champagne Egly-Ouriet Grand Cru Blanc de Noirs,publish,closed,closed,,champagne-egly-ouriet-grand-cru-brut-blanc-de-noirs,44056.42710648148,44056.34377314816,,0,0,0,2026-03-16 10:54:07.746,6c6fb867-a900-4cf4-b16a-4fa4b586360b,4355,12589,2026-03-16 10:54:07.746,1,126.5,2,instock,2026-03-16 10:54:07.746,3.380262077312969,True
19,0,0,0,0,0,,2,43298.44170138889,43298.35836805555,,Domaine des Comtes Lafon Volnay 1er Cru Santenots du Milieu 2014,publish,closed,closed,,domaine-des-comtes-lafon-volnay-1er-cru-santenots-du-milieu-2014,44014.39586805556,44014.31253472222,,0,0,0,2026-03-16 10:54:07.746,5746bf65-3d3c-4fb6-aa21-6703acf63bb9,5007,12791,2026-03-16 10:54:07.746,1,105.0,17,instock,2026-03-16 10:54:07.746,2.607173469311119,True
88,0,0,0,0,2,,2,43671.38144675926,43671.29811342592,,Domaine des Comtes Lafon Volnay 1er Cru Santenots du Milieu 2015,publish,closed,closed,,domaine-des-comtes-lafon-volnay-1er-cru-santenots-du-milieu-2015,43998.39601851852,43998.31268518518,,0,0,0,2026-03-16 10:54:07.746,c69855c3-ad30-4c0e-9497-8cf79326bc77,6212,13996,2026-03-16 10:54:07.746,1,115.0,2,instock,2026-03-16 10:54:07.746,2.9667495660561656,True
103,0,0,0,0,0,,2,43671.38231481481,43671.29898148148,,Domaine des Comtes Lafon Volnay 1er Cru Santenots du Milieu 2016,publish,closed,closed,,domaine-des-comtes-lafon-volnay-1er-cru-santenots-du-milieu-2016,44007.39590277777,44007.312569444446,,0,0,0,2026-03-16 10:54:07.746,9a52782b-133c-46e4-997e-e24c913a7e76,6213,15072,2026-03-16 10:54:07.746,1,121.0,7,instock,2026-03-16 10:54:07.746,3.182495224103193,True
130,0,0,0,0,0,,2,43669.45166666666,43669.368333333325,,Domaine Clerget Echezeaux Grand Cru En Orveaux 2015,publish,closed,closed,,domaine-clerget-echezeaux-en-orveaux-2015,43988.65626157408,43988.572928240734,,0,0,0,2026-03-16 10:54:07.746,f4488cf2-1eed-4696-9fb2-6f71e47ee73d,6202,15126,2026-03-16 10:54:07.746,1,116.4,14,instock,2026-03-16 10:54:07.746,3.017090219600472,True
152,0,0,0,0,0,,2,43298.406701388885,43298.32336805556,,David Duband Charmes-Chambertin Grand Cru 2014,publish,closed,closed,,david-duband-charmes-chambertin-grand-cru-2014,43967.37505787037,43967.29172453704,,0,0,0,2026-03-16 10:54:07.746,d8175a60-2854-49c1-8da7-6edfd30f104f,5001,14581,2026-03-16 10:54:07.746,1,217.5,20,instock,2026-03-16 10:54:07.746,6.652404557692893,True
162,0,0,0,0,0,,2,43144.46440972222,43144.42274305555,,Zind-Humbrecht Riesling Grand Cru Rangen De Thann Clos Saint-Urbain 2017,publish,closed,closed,,zind-humbrecht-riesling-gc-rangen-thann-clos-st-urbain-2017,43869.48960648148,43869.44793981482,,0,0,0,2026-03-16 10:54:07.746,e43d4d20-4a7e-4152-bc76-35a4d926d2ce,4115,15382,2026-03-16 10:54:07.746,1,100.0,11,instock,2026-03-16 10:54:07.746,2.427385420938595,True
198,0,0,0,0,0,,2,43669.44252314815,43669.359189814815,,David Duband Chambolle-Musigny 1er Cru Les Sentiers 2016,publish,closed,closed,,david-duband-chambolle-musigny-1er-cru-les-sentiers-2016,43890.64238425926,43890.60071759259,,0,0,0,2026-03-16 10:54:07.746,3e19e1d7-1710-47ae-815b-a23fbb30c221,6201,14596,2026-03-16 10:54:07.746,1,105.6,7,instock,2026-03-16 10:54:07.746,2.6287480351158212,True
207,0,0,0,0,5,,2,43235.43311342593,43235.34978009259,,Domaine Des Croix Corton Charlemagne Grand Cru 2016,publish,closed,closed,,domaine-des-croix-corton-charlemagne-grand-cru-2016,43970.71877314816,43970.63543981482,,0,0,0,2026-03-16 10:54:07.746,afb2fa8c-1330-4fdf-b8d1-de3e38c85f4e,4904,14220,2026-03-16 10:54:07.746,1,137.0,13,instock,2026-03-16 10:54:07.746,3.757816978895268,True
236,0,0,0,0,0,,2,43144.48883101852,43144.447164351855,,Zind-Humbrecht Pinot Gris Grand Cru Rangen De Thann Clos Saint-Urbain 2012,publish,closed,closed,,zind-humbrecht-pinot-gris-grand-cru-rangen-de-thann-clos-saint-urbain-2012,43881.41321759259,43881.37155092593,,0,0,0,2026-03-16 10:54:07.746,a873ae48-fa9d-4861-b481-e3c83251dcaf,4132,11668,2026-03-16 10:54:07.746,1,88.4,5,instock,2026-03-16 10:54:07.746,2.0102771487143416,True
264,0,0,0,0,3,,2,43552.43166666666,43552.39,,Coteaux Champenois Egly-Ouriet Ambonnay Rouge 2016,publish,closed,closed,,coteaux-champenois-egly-ouriet-ambonnay-rouge-2016,43922.3959375,43922.31260416666,,0,0,0,2026-03-16 10:54:07.746,6574c766-a450-4ec4-b951-053bc7ba06da,5892,14983,2026-03-16 10:54:07.746,1,191.3,10,instock,2026-03-16 10:54:07.746,5.710315184220872,True
277,0,0,0,0,0,,2,43559.709652777776,43559.62631944445,,Wemyss Malts Single Cask Scotch Whisky Chai Caramel Latte 2002 Craigellachie,publish,closed,closed,,wemyss-malts-single-cask-scotch-whisky-chai-caramel-latte-2002,44043.767395833325,44043.6840625,,0,0,0,2026-03-16 10:54:07.746,d605b8a4-c509-4879-882f-96ead08e3033,5918,14773,2026-03-16 10:54:07.746,1,114.0,8,instock,2026-03-16 10:54:07.746,2.9307919563816607,True
287,0,0,0,0,1,,2,43181.49297453704,43181.45130787037,,Cognac Frapin Cigar Blend,publish,closed,closed,,cognac-frapin-cigar-blend,44016.40628472222,44016.32295138889,,0,0,0,2026-03-16 10:54:07.746,3f5dd61b-d4d8-4f10-9765-c8bf5b864025,4407,3509,2026-03-16 10:54:07.746,1,104.0,6,instock,2026-03-16 10:54:07.746,2.571215859636614,True
289,0,0,0,0,0,,2,43671.39663194444,43671.31329861111,,Domaine des Comtes Lafon Volnay 1er Cru Champans 2016,publish,closed,closed,,domaine-des-comtes-lafon-volnay-1er-cru-champans-2016,44042.39592592593,44042.31259259259,,0,0,0,2026-03-16 10:54:07.746,2af5faa1-2690-415c-8f21-7513e1e26a7a,6216,15070,2026-03-16 10:54:07.746,1,121.0,6,instock,2026-03-16 10:54:07.746,3.182495224103193,True
374,0,0,0,0,0,,2,43559.70112268518,43559.61778935185,,Wemyss Malts Single Cask Scotch Whisky Choc 'n' Nut Pretzel 2001 Bunnahabhain,publish,closed,closed,,wemyss-malts-single-cask-scotch-whisky-choc-n-nut-pretzel-2001,43901.3959375,43901.354270833326,,0,0,0,2026-03-16 10:54:07.746,ff8ed4c2-6b31-4435-833c-6c9b27b8c62a,5917,14775,2026-03-16 10:54:07.746,1,122.0,4,instock,2026-03-16 10:54:07.746,3.218452833777698,True
393,0,0,0,0,0,,2,43537.61344907407,43537.57178240741,,Camille Giroud Clos de Vougeot 2016,publish,closed,closed,,camille-giroud-clos-de-vougeot-2016,43993.64240740741,43993.55907407408,,0,0,0,2026-03-16 10:54:07.746,d9700080-7541-4f59-8201-7e0b29c306ba,5767,15185,2026-03-16 10:54:07.746,1,175.0,12,instock,2026-03-16 10:54:07.746,5.124206146526445,True
395,0,0,0,0,5,,2,43161.4375462963,43161.39587962962,,Champagne Egly-Ouriet Grand Cru Millésimé 2008,publish,closed,closed,,champagne-egly-ouriet-grand-cru-millesime-2008,43897.47135416666,43897.4296875,,0,0,0,2026-03-16 10:54:07.746,2b7b8620-f575-4151-be60-f1532fc18779,4352,15940,2026-03-16 10:54:07.746,1,225.0,0,outofstock,2026-03-16 10:54:07.746,6.922086630251679,True
463,0,0,0,0,0,,2,43299.44424768518,43299.360914351855,,Champagne Agrapart &amp; Fils L'Avizoise Extra Brut Blanc de Blancs Grand Cru 2012,publish,closed,closed,,champagne-agrapart-fils-lavizoise-grand-cru-2012-extra-brut-blanc-de-blancs,44021.711828703694,44021.628495370365,,0,0,0,2026-03-16 10:54:07.746,18b806ed-0424-498c-9fa1-1307b4fcb422,5025,13914,2026-03-16 10:54:07.746,1,112.0,0,outofstock,2026-03-16 10:54:07.746,2.8588767370326513,True
503,0,0,0,0,13,,2,43181.47297453704,43181.43130787037,,Cognac Frapin VIP XO,publish,closed,closed,,cognac-frapin-vip-xo,44065.48267361112,44065.39934027778,,0,0,0,2026-03-16 10:54:07.746,9ffa3852-21bf-4eb4-b647-f52d3e12e971,4402,3510,2026-03-16 10:54:07.746,1,176.0,8,instock,2026-03-16 10:54:07.746,5.16016375620095,True
533,0,0,0,0,2,,2,43181.48119212962,43181.43952546296,,Cognac Frapin Château de Fontpinot XO,publish,closed,closed,,cognac-frapin-fontpinot-xo,44055.39601851852,44055.31268518518,,0,0,0,2026-03-16 10:54:07.746,d9c20f99-f5da-4142-be14-792f49111f90,4404,3507,2026-03-16 10:54:07.746,1,108.5,2,instock,2026-03-16 10:54:07.746,2.733025103171885,True
545,0,0,0,0,0,,2,43181.48805555556,43181.446388888886,,Cognac Frapin Château de Fontpinot 1989 20 Ans d'Age,publish,closed,closed,,cognac-frapin-chateau-de-fontpinot-1989-20-ans,43904.67018518518,43904.62851851852,,0,0,0,2026-03-16 10:54:07.746,e464f7fc-cfe6-4861-9c0e-39e0a272db6e,4406,7819,2026-03-16 10:54:07.746,1,157.0,3,instock,2026-03-16 10:54:07.746,4.4769691723853615,True
546,0,0,0,0,0,,2,43298.453252314815,43298.36991898148,,Domaine des Comtes Lafon Volnay 1er Cru Santenots du Milieu 2013,publish,closed,closed,,domaine-des-comtes-lafon-volnay-1er-cru-santenots-du-milieu-2013,44005.649328703694,44005.565995370365,,0,0,0,2026-03-16 10:54:07.746,1e221372-afe5-4c79-9c80-0dffd9f32067,5008,11602,2026-03-16 10:54:07.746,1,105.0,10,instock,2026-03-16 10:54:07.746,2.607173469311119,True
